area-System.Net,area-Infrastructure,area-System.Security,area-System.IO,area-System.Runtime,area-System.Xml,area-System.Threading,area-System.Reflection,area-System.Memory,area-System.Diagnostics,area-Serialization,area-System.Drawing,area-Meta,area-System.Data,area-Microsoft.CSharp,area-System.Numerics,area-System.Text,area-System.Globalization,area-System.ComponentModel,area-System.Collections,area-System.Console,area-System.Linq
22,0:94
22,0:38,1:1,3:1
22,0:14
22,0:31
22,0:22
22,0:5
22,0:4
22,0:5
22,0:21,3:1,8:4
22,0:7
22,0:10
22,0:4
22,0:4
22,0:19
22,0:2
22,0:1
22,0:6
22,0:4
22,0:10
22,0:6
22,0:3
22,0:2
